raffeld_treatment,source_treatment,calval_treatment_id,plot,campaign,SOC_stock_0_30cm_Mg_C_ha,method,source_file
RW + N,RWF,rf_wheat_fallow,5_8,1993,39.856,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,5_8,2012,38.532,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,5_9,1993,43.385,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,5_9,2012,43.96,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,7_2,1993,39.353,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,7_2,2012,39.962,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,8_2,1993,39.547,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + N,RWF,rf_wheat_fallow,8_2,2012,33.955,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,1_6,1993,44.867,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,1_6,2012,33.286,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,2_8,1993,40.263,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,2_8,2012,37.495,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,3_7,1993,33.061,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,3_7,2012,33.365,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,3_8,1993,38.597,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,3_8,2012,40.624,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,7_3,1993,40.821,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
